name,"predicted_('rating_kuby',)"
12 Angry Men,6.269366177444798
12 Years a Slave,7.516230388019705
1917,6.267680011860622
2001: A Space Odyssey,6.81139323790536
A Beautiful Mind,7.005122807025344
Aladdin,6.39756695557044
Alien,6.513237895864915
Aliens,6.272715974696804
All About Eve,6.318128934129015
American Beauty,6.810477539103526
Amores perros,6.407454261304584
Avengers: Endgame,6.952095218581187
Avengers: Infinity War,6.458018060851044
Babam ve Oglum,6.3557805991618865
Bacheha-Ye aseman,6.3932707721483375
Back to the Future,6.525073280206133
Barry Lyndon,6.651612742138342
Batman Begins,6.465262175241927
Before Sunset,6.936825599963174
Ben-Hur,6.409901569380596
Blade Runner,6.283227742030582
Braveheart,6.666078869596179
Capharnaüm,6.370647958817782
Casablanca,6.336910165491917
Casino,6.256643750561217
Chinatown,6.773799003432269
Cidade de Deus,6.283227742030582
Citizen Kane,6.358522730206527
City Lights,6.642718971688645
Coco,6.79412836741807
Cool Hand Luke,6.283428023003801
Dangal,6.650209244238399
Det sjunde inseglet,6.482819743234608
Die Hard,6.267680011860622
Django Unchained,7.130522006420156
Double Indemnity,6.283227742030582
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6.760764483678618
El secreto de sus ojos,6.572110614312474
Eternal Sunshine of the Spotless Mind,6.297369170369144
Everything Everywhere All at Once,6.267680011860622
Fargo,6.366087470928357
Fight Club,7.604215960389357
Finding Nemo,6.984041826222523
Forrest Gump,6.505146494964398
Full Metal Jacket,6.650134632850698
Gandhi,6.451525494497876
Gisaengchung,6.370636232236589
Gladiator,6.529129780201827
Gone Girl,6.450203502009662
Gone with the Wind,7.07024071124109
Good Will Hunting,7.066135012063391
Gran Torino,6.715165351430282
Green Book,6.3862990948721485
Hachi: A Dog's Tale,6.2975950456421455
Hacksaw Ridge,6.758203373054314
Hamilton,6.902748082400331
Harry Potter and the Deathly Hallows: Part 2,6.367404766395868
Hauru no ugoku shiro,6.8021087932324225
Heat,6.272046132546098
Hotaru no haka,6.349673987044145
Hotel Rwanda,6.722363247627992
How to Train Your Dragon,6.267680011860622
Idi i smotri,6.324422801058659
Ikiru,7.008685562482969
"Il buono, il brutto, il cattivo",6.38225832504608
In the Name of the Father,6.499585170850088
Incendies,6.472922297045052
Inception,6.25295655173869
Indiana Jones and the Last Crusade,6.267680011860622
Inside Out,6.820834965352604
Interstellar,6.277985772179139
Into the Wild,6.444027079787334
It Happened One Night,7.31526378376861
Jai Bhim,6.470038372462984
Jodaeiye Nader az Simin,6.554387959530532
Joker,6.274616224112108
Judgment at Nuremberg,6.282455825312344
Jurassic Park,6.265106869282684
Kill Bill: Vol. 1,6.463941540486897
La battaglia di Algeri,6.351470389239669
La haine,6.363402307823589
La vita è bella,6.444195253369267
Ladri di biciclette,6.283227742030582
Lawrence of Arabia,6.422484325537364
Le fabuleux destin d'Amélie Poulain,6.560013623081151
Le salaire de la peur,6.283227742030582
Life of Brian,6.392824169930982
"Lock, Stock and Two Smoking Barrels",6.267680011860622
Logan,6.499507355871468
Léon,6.273034827957546
Mad Max: Fury Road,6.267680011860622
Memento,6.638718300806172
Metropolis,6.331222194041668
Modern Times,6.6398812569897645
Mononoke-hime,6.52461420842885
"Monsters, Inc.",7.738953247948554
Monty Python and the Holy Grail,6.414021811692546
Mr. Smith Goes to Washington,9.023464024885042
Network,6.2720904614736215
No Country for Old Men,6.537795452686241
North by Northwest,6.267680011860622
Nuovo Cinema Paradiso,6.459392273638873
Oldeuboi,6.283227742030582
Once Upon a Time in America,6.39850762146294
Once Upon a Time in the West,6.283227742030582
Pan's Labyrinth,6.443395130788302
Paths of Glory,6.679307813676907
Per qualche dollaro in più,6.454980683397477
Persona,6.47342606015071
Pirates of the Caribbean: The Curse of the Black Pearl,6.267680011860622
Psycho,6.836092291103418
Raging Bull,6.505753681793173
Ran,6.776087046087082
Rashômon,6.8158411072469205
Ratatouille,6.618554529806059
Rear Window,7.177652087249246
Rebecca,6.946890419882344
Relatos salvajes,6.785079711724249
Requiem for a Dream,6.284746991971973
Reservoir Dogs,6.758614204324423
Room,6.359699827219564
Salinui chueok,6.2832644134897535
Scarface,6.3847207607981735
Schindler's List,6.440372613691489
Se7en,8.115340576510242
Sen to Chihiro no kamikakushi,6.565141217633828
Shichinin no samurai,6.813766063294624
Shutter Island,7.0492481215450855
Singin' in the Rain,6.740615518010167
Smultronstället,6.494562316883875
Snatch,7.308034205542701
Some Like It Hot,7.120522168950551
Spider-Man: Into the Spider-Verse,6.267680011860622
Spider-Man: No Way Home,6.263827635391346
Stand by Me,6.283227742030582
Star Wars,6.342341884579674
Star Wars: Episode VI - Return of the Jedi,6.418294924338446
Sunset Blvd.,7.1812360508063025
Taxi Driver,6.267680011860622
Tengoku to jigoku,6.554570571679958
Terminator 2: Judgment Day,6.267680011860622
The Apartment,6.564628947101415
The Big Lebowski,6.3496515364796
The Bridge on the River Kwai,6.283227742030582
The Dark Knight,6.439332439393554
The Dark Knight Rises,6.528231799824443
The Deer Hunter,6.26485510988611
The Departed,6.67079461176238
The Elephant Man,6.503407188211214
The Empire Strikes Back,6.336909916203168
The Exorcist,6.28072208168164
The Father,6.308329822723602
The General,6.416237007915816
The Godfather,6.427252040709135
The Godfather Part II,6.428637932782564
The Gold Rush,6.2880465278477295
The Grand Budapest Hotel,6.707729678264713
The Grapes of Wrath,6.329962500788911
The Great Dictator,6.325638175765383
The Green Mile,6.5017947947892605
The Help,6.431520147194815
The Incredibles,6.5660246696506945
The Intouchables,6.443691538443141
The Kid,6.473442306168082
The Lion King,6.283227742030582
The Lives of Others,6.4197003684294085
The Lord of the Rings: The Return of the King,6.23330631341241
The Lord of the Rings: The Two Towers,6.23330631341241
The Matrix,6.267680011860622
The Prestige,7.188086696857779
The Shawshank Redemption,6.4218689037202115
The Shining,6.471987909504544
The Silence of the Lambs,6.288033979749623
The Sixth Sense,6.449754448755304
The Sound of Music,6.302992303251664
The Sting,6.2889794558892875
The Terminator,6.280799923157855
The Thing,6.717833328238335
The Third Man,6.637548886124269
The Treasure of the Sierra Madre,6.283227742030582
The Usual Suspects,6.765384867132783
The Wizard of Oz,6.525152030022278
The Wolf of Wall Street,6.666152240726971
"Three Billboards Outside Ebbing, Missouri",6.372859284886094
To Be or Not to Be,6.571312692041954
To Kill a Mockingbird,6.269631496503443
Tonari no Totoro,6.581986095935531
Top Gun: Maverick,6.275919058636594
Toy Story,8.125411664882709
Trainspotting,6.334329182980627
Tôkyô monogatari,6.283227742030582
Unforgiven,7.1302835089714325
Up,7.477231747478323
V for Vendetta,6.275151288151387
Warrior,6.309388574752972
Whiplash,6.640919744038611
Witness for the Prosecution,6.283227742030582
Yôjinbô,6.778784191219605
